Date,Price,Open,High,Low,Vol.,Change %
05/01/2016,84.64,82,89,81.4,62.35M,3.26%
06/01/2016,88.46,84,93.88,80.76,68.15M,4.51%
07/01/2016,92.69,88.49,94.55,87.5,43.64M,4.78%
08/01/2016,102.11,92.99,106,92.99,56.94M,10.16%
09/01/2016,99.39,101.5,106,97,32.48M,-2.66%
10/01/2016,100.74,99.61,104.45,98.95,27.20M,1.36%
11/01/2016,104.28,100.5,111.5,100.25,41.95M,3.51%
12/01/2016,119.45,105,121.86,104,51.32M,14.55%
01/01/2017,117.67,118.5,128.5,115.13,35.90M,-1.49%
02/01/2017,122.36,117.53,125.25,115.5,34.79M,3.99%
03/01/2017,113.82,122.4,127.5,110.99,41.60M,-6.99%
04/01/2017,124.07,113.76,125,112.5,43.43M,9.01%
05/01/2017,118.8,123,141.5,118.5,138.07M,-4.25%
06/01/2017,117.76,118.5,121.25,107.5,104.41M,-0.88%
07/01/2017,104.03,116,118,98,49.77M,-11.66%
08/01/2017,93.07,104.88,107.6,91.48,54.88M,-10.54%
09/01/2017,95.08,93.07,100.25,91.5,40.07M,2.17%
10/01/2017,89.54,95,98.5,88.63,47.95M,-5.83%
11/01/2017,87.76,89.5,91.75,82.5,38.66M,-1.99%
12/01/2017,93.99,87,94.5,81,37.08M,7.09%
01/01/2018,96.82,93.75,109.5,91.5,82.50M,3.01%
02/01/2018,94.33,96.5,103,92.97,44.84M,-2.57%
03/01/2018,104.44,94.36,105.25,93.5,34.47M,10.72%
04/01/2018,100.55,102.94,109.85,96.82,37.09M,-3.73%
05/01/2018,84.56,100,100,82.59,44.70M,-15.90%
06/01/2018,84.49,84.56,93.88,82.57,68.51M,-0.08%
07/01/2018,87.7,85,94.5,74.26,81.54M,3.80%
08/01/2018,79.01,88,88.5,78.65,38.33M,-9.90%
09/01/2018,77,79.1,81.3,74.95,35.64M,-2.55%
10/01/2018,74.94,77.47,77.5,66.1,115.87M,-2.68%
11/01/2018,70.76,74,77.24,65.06,198.77M,-5.57%
12/01/2018,61.32,72,72.7,60.92,78.57M,-13.35%
01/01/2019,76.33,62.5,77.4,62.45,64.21M,24.48%
02/01/2019,67.95,76.49,79.75,64.5,82.74M,-10.98%
03/01/2019,69.76,68.2,71.07,66.55,19.73M,2.67%
04/01/2019,73.96,69.63,75,65,50.20M,6.01%
05/01/2019,79.41,74.5,79.75,70.51,67.77M,7.37%
06/01/2019,73.69,78,79,72,25.78M,-7.20%
07/01/2019,72.81,74.25,76.5,72.06,23.81M,-1.20%
08/01/2019,64.72,74,74,59.01,40.56M,-11.11%
09/01/2019,69.11,66,72,64.07,39.72M,6.79%
10/01/2019,68.78,69.88,75.25,68.47,46.66M,-0.48%
11/01/2019,81.75,69.75,82.15,68.57,53.34M,18.85%
12/01/2019,82.25,83.5,89,81.25,43.77M,0.62%
01/01/2020,84.96,82.99,92,81.56,45.64M,3.30%
02/01/2020,83.01,84.9,87.5,76.5,39.10M,-2.30%
03/01/2020,50.4,84.45,86,43.75,81.18M,-39.28%
04/01/2020,53.51,51.44,57,49.31,57.57M,6.17%
05/01/2020,48.01,53.55,54.1,47.51,16.45M,-10.28%
06/01/2020,51.68,48.03,59.47,47.76,54.62M,7.63%
07/01/2020,56.9,51.7,57.75,50.5,95.07M,10.10%
08/01/2020,62.41,57,64.25,56.76,82.60M,9.68%
09/01/2020,57.56,63.21,66,57.42,57.37M,-7.78%
10/01/2020,54.81,57.75,62.24,53.1,51.70M,-4.76%
11/01/2020,60.25,54,61.35,53.01,51.49M,9.92%
12/01/2020,62.93,60.76,65.63,60,61.16M,4.45%
01/01/2021,68.39,63.25,74.63,62.51,119.14M,8.68%
02/01/2021,63.76,68.5,72.38,59.56,104.39M,-6.78%
03/01/2021,59.47,63.75,68,58.05,93.93M,-6.72%
04/01/2021,63.1,59,65,56.95,81.08M,6.11%
05/01/2021,64.64,63.95,66.45,60.09,85.28M,2.42%
06/01/2021,61.1,64.93,66.5,60.06,43.84M,-5.47%
07/01/2021,62.49,61.25,64,61.01,35.63M,2.28%
08/01/2021,60.47,62.68,65.25,60,36.05M,-3.25%
09/01/2021,59.28,60.5,63.01,56.53,78.17M,-1.96%
10/01/2021,70.01,59,71.68,57.58,63.22M,18.11%
11/01/2021,70.63,70.75,73.45,66.32,142.40M,0.87%
12/01/2021,68.29,71.25,72.5,66.25,47.93M,-3.31%
01/01/2022,69.89,68.47,72,67.75,24.24M,2.34%
02/01/2022,74.14,69.75,75.45,69.75,30.10M,6.09%
03/01/2022,68.19,74.45,75.1,67.97,70.28M,-8.02%
04/01/2022,68.69,68.38,72.47,66.15,38.01M,0.73%
05/01/2022,65.56,68.97,69.5,62.35,31.92M,-4.57%
06/01/2022,56.56,65.85,65.85,55,42.66M,-13.71%
07/01/2022,55.17,55.78,59.48,53.55,28.64M,-2.48%
08/01/2022,58.35,55.01,61.49,53.58,35.13M,5.78%
09/01/2022,57.44,58.72,60.3,56.3,15.84M,-1.56%
10/01/2022,53.58,57.05,57.88,53,23.87M,-6.74%
11/01/2022,53.25,53.56,55.8,52.85,20.52M,-0.61%
12/01/2022,50.38,53.97,56.42,48.26,31.27M,-5.40%
01/01/2023,50.79,50.49,52.75,45.75,22.92M,0.83%
02/01/2023,56.51,50.79,57.17,49.53,33.85M,11.25%
03/01/2023,53.28,56.5,58.9,52.05,68.51M,-5.72%
04/01/2023,61.36,53.47,62.31,52.1,37.59M,15.17%
05/01/2023,58.15,61.39,66.5,56.96,55.64M,-5.24%
06/01/2023,58.77,58.1,60.5,54.7,24.66M,1.07%
07/01/2023,75.93,63.18,79.79,62.38,119.89M,29.20%
08/01/2023,69.54,75.93,77.85,68.75,69.01M,-8.41%
09/01/2023,71.8,69.6,74,68.05,33.31M,3.24%
10/01/2023,83.81,72.45,84,71.06,56.38M,16.72%
11/01/2023,90.76,84.15,94.5,77.5,86.78M,8.30%
12/01/2023,88.92,91.94,96,82.57,35.91M,-2.03%
01/01/2024,91.03,88.24,93.59,88.24,30.85M,2.37%
02/01/2024,96.11,91.72,96.5,89.38,31.30M,5.59%
03/01/2024,91.14,96.55,98.46,87.35,85.78M,-5.18%
04/01/2024,96.82,91,104.46,90,47.34M,6.24%
05/01/2024,111.67,97,111.99,95.63,61.61M,15.33%
06/01/2024,128.12,111.5,141.01,103,41.36M,14.74%
07/01/2024,129.96,128.48,137.5,126.5,36.95M,1.44%
08/01/2024,126.62,130.99,130.99,119.25,27.46M,-2.57%
09/01/2024,145.71,127,150.5,125.08,35.13M,15.08%
10/01/2024,155.96,145.01,162.62,144.15,52.00M,7.03%
11/01/2024,169.73,149.94,190.31,147.07,53.74M,8.83%
12/01/2024,191.12,170.5,192,162.52,107.69M,12.60%
01/01/2025,205.1,190.92,206.99,183.45,50.29M,7.32%
02/01/2025,199.73,206.01,210,194,22.13M,-2.62%
03/01/2025,205.45,200.5,207,188.32,23.14M,2.86%
04/01/2025,230.52,205.5,290,203,114.50M,12.21%
05/01/2025,254.8,235,267.75,215.03,51.47M,10.53%
06/01/2025,275.95,255,277,253.26,41.33M,8.30%
07/01/2025,366.68,276,380,275.95,66.37M,32.88%
08/01/2025,380.84,366,392,365,16.77M,3.86%
09/01/2025,386.06,381.1,399.9,350.2,27.36M,1.37%
10/01/2025,384.87,389.88,410.3,360.42,29.74M,-0.31%
11/01/2025,379.03,386.9,386.9,367,13.65M,-1.52%
12/01/2025,424.59,380,427.9,372.72,27.01M,12.02%
01/01/2026,486.92,425,517,424.99,50.36M,14.68%
02/01/2026,439.8,487.5,509,430,29.91M,-9.68%
03/01/2026,331.95,395.82,424,328,40.22M,-24.52%
04/01/2026,340.4,338,356,337,7.45M,2.55%
